"edu","prevearn","n"
10,59181.8181818182,0
10,59818.1818181818,0
10,60454.5454545455,0
10,61090.9090909091,0
10,61727.2727272727,0
10,62363.6363636364,0
10,63000,0
11,0,455
11,636.363636363636,104
11,1272.72727272727,89
11,1909.09090909091,65
11,2545.45454545455,43
11,3181.81818181818,81
11,3818.18181818182,34
11,4454.54545454545,31
11,5090.90909090909,46
11,5727.27272727273,32
11,6363.63636363636,17
11,7000,23
11,7636.36363636364,14
11,8272.72727272727,27
11,8909.09090909091,21
11,9545.45454545455,10
11,10181.8181818182,14
11,10818.1818181818,8
11,11454.5454545455,4
11,12090.9090909091,12
11,12727.2727272727,7
11,13363.6363636364,4
11,14000,2
11,14636.3636363636,3
11,15272.7272727273,3
11,15909.0909090909,2
11,16545.4545454545,0
11,17181.8181818182,1
11,17818.1818181818,3
11,18454.5454545455,1
11,19090.9090909091,3
11,19727.2727272727,3
11,20363.6363636364,0
11,21000,0
11,21636.3636363636,0
11,22272.7272727273,2
11,22909.0909090909,0
11,23545.4545454545,1
11,24181.8181818182,0
11,24818.1818181818,0
11,25454.5454545455,0
11,26090.9090909091,0
11,26727.2727272727,0
11,27363.6363636364,0
11,28000,0
11,28636.3636363636,0
11,29272.7272727273,1
11,29909.0909090909,0
11,30545.4545454545,0
11,31181.8181818182,1
11,31818.1818181818,0
11,32454.5454545455,0
11,33090.9090909091,0
11,33727.2727272727,0
11,34363.6363636364,0
11,35000,0
11,35636.3636363636,0
11,36272.7272727273,0
11,36909.0909090909,0
11,37545.4545454545,0
11,38181.8181818182,0
11,38818.1818181818,0
11,39454.5454545455,0
11,40090.9090909091,0
11,40727.2727272727,0
11,41363.6363636364,0
11,42000,0
11,42636.3636363636,0
11,43272.7272727273,0
11,43909.0909090909,0
11,44545.4545454545,0
11,45181.8181818182,0
11,45818.1818181818,0
11,46454.5454545455,0
11,47090.9090909091,0
11,47727.2727272727,0
11,48363.6363636364,0
11,49000,0
11,49636.3636363636,0
11,50272.7272727273,0
11,50909.0909090909,0
